"original_name","new_name"
"Number of empty beds on assessment units 8am (today) - Medicine","noeboaum"
"Number of empty beds on assessment units 8am (today) - Surgery","noeboaus"
"Of neonatal critical care beds occupied, how many are level 3?","onccbohmal"
"Patients Admitted to DtA P2 - YESTERDAY'S DATA","patdapyd"
"Patients Admitted to DtA P3 - YESTERDAY'S DATA","patdapyd.1"
"Resuscitation Capacity at 1000","rsca"
"Sirona BNSSG % Staffing Reduction","sbnsssr"
"Sirona ICE Bristol Locality % Staffing Reduction","sicblsr"
"Sirona N&W Bristol Locality % Staffing Reduction","snblsr"
"Sirona SASS % Staffing Reduction","ssasssr"
"Sirona South Bristol Locality % Staffing Reduction","srsblsr"
"Sirona South Glos Locality % Staffing Reduction","srsglsr"
"Sirona Weston & Worle Locality % Staffing Reduction","swwlsr"
"Sirona Woodspring Locality % Staffing Reduction","srnwlsr"
"4hr Breach Performance","xhrbrchp"
"A&E Discharges in Last Hour","aedsilh"
"Ambulance Queue","ambulncq"
"Average Time to Assessment","avrgtmta"
"Average Time to Triage","avrgtmtt"
"Cohorting & Reverse Queue","chrtnrq"
"Majors patient count","mjrsptnc"
"Minors patient count","mnrsptnc"
"New Arrivals in Last Hour","nwarrilh"
"No. of DTAs","nofdtas"
"No. of DTAs (> 8hrs)","nodta"
"Patients in A&E","ptntiae"
"Resuscitation Capacity","rsscttnc"
"Total Breaches Since Midnight","ttlbrcsm"
"Ambulance Handovers 15mins (Last Hour)","ahlh"
"Ambulance Handovers 15mins (Since Midnight)","ahsm"
"Ambulance Handovers 30 mins (Last Hour)","ahmlh"
"Ambulance Handovers 30mins (Since Midnight)","ahsm.1"
"Ambulance Handovers 60 mins (Last Hour)","ahmlh.1"
"Ambulance Handovers 60mins (Since Midnight)","ahsm.2"
"Ambulances Conveyed to Hospital (Last Hour)","acthlh"
"Ambulances Conveyed to Hospital (Since Midnight)","acthsm"
"Ambulances En Route to Hospital","ambulncsenrtthsptl"
"Handover Time Lost Since Midnight (hh:mm)","htlsm"
"Handover to Clear 15mins (Last Hour)","htclh"
"Handover to Clear 15mins (Since Midnight)","htcsm"
"Handover to Clear 30mins (Last Hour)","htclh.1"
"Handover to Clear 30mins (Since Midnight)","htcsm.1"
"Handover to Clear 60mins (Since Midnight)","htcsm.2"
"OPEL","opel"
"Category 1 - BNSSG 90th Response (Last Hour)","cbrh"
"Category 1 - BNSSG Mean Response (Since Midnight)","cbmrm"
"Category 2 - BNSSG 90th Response (Last Hour)","cbrh.1"
"Category 2 - BNSSG Mean Response (Since Midnight)","cbmrm.1"
"Category 3 - BNSSG 90th Response (Last Hour)","cbrh.2"
"Category 3 - BNSSG Mean Response (Since Midnight)","cbmrm.2"
"Number of Active Calls on the 999 Call Stack","noacotcs"
"Number of Waiting Calls on the 999 Call Stack","nowcotcs"
"Proportion of Calls Since Midnight that Received a Hear Treat","pocsmtraht"
"Proportion of Calls Since Midnight that Received a See Convey","pocsmtrasc"
"Proportion of Calls Since Midnight that Received a See Treat","pocsmtrast"
"Ambulances En Route to Hospitals","amblncsenrtthsptls"
"Category 4 - BNSSG 90th Response (Last Hour)","cbrh.3"
"Category 4 - BNSSG Mean Response (Since Midnight)","cbmrm.3"
"Clinical Escalation Level (BrisDoc)","celbrd"
"IUC Advice Longest Wait (1hr Call Back)","iucalwcb"
"IUC Advice Longest Wait (2hr Call Back)","iucalwcb.1"
"IUC Advice Longest Wait (6hr Call Back)","iucalwcb.2"
"IUC Advice Longest Wait (HCP Call Back)","iucalwhcb"
"Number of Cases on IUC CAS Queue","nocoiucq"
"Number of Home Visits","nmbrofhv"
"Number of Treatment Centre Appointments","nmbrotca"
"Delayed TOC Docs to all Pathways","dtocdtap"
"DtA P1 Slots Booked","dtapslb.1"
"DtA P3 Beds Occupied","dtapbdo.2"
"Mason Section 136 Beds Available (Capacity 4)","msba"
"Capacity (Available Slots Today)","castdy"
"Referrals Received Yesterday","rfrrlsry"
"Answered in 60 seconds Since Midnight that Received","aissmtr"
"Answered in 60 seconds Since Midnight that Received (%)","aissmtr.1"
"Answered in 60 seconds in Last 15 mins","aisilm"
"Answered in 60 seconds in Last 15 mins (%)","aisilm.1"
"Average Handling Time Since Midnight that Received","avhtsmtr"
"Average Handling Time in Last 15 mins","ahtilm"
"Average Speed to Answer Since Midnight that Received","astasmtr"
"Average Speed to Answer in Last 15 mins","astailm"
"Calls Abandoned After Threshold Since Midnight that Received","caatsmtr"
"Calls Abandoned After Threshold Since Midnight that Received (%)","caatsmtr.1"
"Calls Abandoned After Threshold in Last 15 mins","caatilm"
"Calls Abandoned After Threshold in Last 15 mins (%)","caatilm.1"
"Calls Abandoned Before Threshold Since Midnight that Received","cabtsmtr"
"Calls Abandoned Before Threshold in Last 15 mins","cabtilm"
"Calls Answered Since Midnight that Received","cllasmtr"
"Calls Answered in Last 15 mins","clailm"
"Calls Offered Since Midnight that Received","cllosmtr"
"Calls Offered in Last 15 mins","cloilm"
"Longest Wait Since Midnight that Received","lngwsmtr"
"Longest Wait in Last 15 mins","lnwilm"
"P2 NCtR","pnctr"
"BRI P2 NCtR Beddays","bripncb"
"NBT P1 NCtR Beddays","nbtpncb"
"BRI P1 NCtR Beddays","bripncb.1"
"P1 (Available) Slots Not Utilised","pasnu"
"P1 Acute Waiting List (Booked + Unbooked)","pawlu"
"P1 Referrals Yesterday","prfrrly"
"P1 Slots Booked Today","psltsbt"
"P1 Slots Used Yesterday","psltsuy"
"P2 (Available) Beds Not Utilised","pabnu"
"P2 Acute Waiting List (Booked + Unbooked)","pawlu.1"
"P2 Beds Occupied","pbdsocc"
"P2 Patients Predicted for Admission Today","pptpfat"
"P3 (Available) Beds Not Utilised","pabnu.1"
"P3 Acute Waiting List (Booked + Unbooked)","pawlu.2"
"P3 Beds Occupied","pbdsocc.1"
"P3 Referrals Yesterday","prfrrly.1"
"BRI NCtR >= 65 years old","brinyo"
"BRI NCtR Beddays","brinctrb"
"BRI NCtR Patients","brinctrp"
"BRI P1 NCtR Patients","bripncp"
"BRI P2 NCtR Patients","bripncp.1"
"BRI P3 NCtR Beddays","bripncb.2"
"BRI P3 NCtR Patients","bripncp.2"
"NBT NCtR >= 65 years old","nbtnyo"
"NBT NCtR Beddays","nbtnctrb"
"NBT NCtR Patients","nbtnctrp"
"NBT P1 NCtR Patients","nbtpncp"
"NBT P2 NCtR Beddays","nbtpncb.1"
"NBT P2 NCtR Patients","nbtpncp.1"
"NBT P3 NCtR Beddays","nbtpncb.2"
"NBT P3 NCtR Patients","nbtpncp.2"
"P1 NCtR","pnctr.1"
"Red Nursing schedules","rdnrsngs"
"Unallocated Red Nursing Schedules","unllcrns"
"Unallocated Red Nursing Schedules (%)","unrns"
"WGH NCtR >= 65 years old","wghnyo"
"WGH NCtR Beddays","wghnctrb"
"WGH NCtR Patients","wghnctrp"
"WGH P1 NCtR Beddays","wghpncb"
"WGH P1 NCtR Patients","wghpncp"
"WGH P2 NCtR Beddays","wghpncb.1"
"WGH P2 NCtR Patients","wghpncp.1"
"WGH P3 NCtR Beddays","wghpncb.2"
"WGH P3 NCtR Patients","wghpncp.2"
"(Severnside) CAS Referred to ED","xscarte"
"DOS Status at 10am","dossta"
"P1 Caseload","pcaseld"
"P2 Admissions Yesterday","padmssy"
"P2 Referrals Yesterday","prfrrly.2"
"P3 Admissions Yesterday","padmssy.1"
"% of beds occupied by patients with NCtR","xobobpwn"
"% of patients spending >12 hours in ED","xopshie"
"Aggregated NHSE OPEL Score","anhseops"
"Automated OPEL","atmtopel"
"BRI Complex Discharges","bricmpld"
"BRI P0 Discharges","bripdsc"
"ED all-type 4-hour performance","edalp"
"Majors and resuscitation occupancy (adult)","marodl"
"WGH Complex Discharges","wghcmpld"
"WGH P0 Discharges","wghpdsc"
"Median time to treatment since midnight","mdntttsm"
"NBT Complex Discharges","nbtcmpld"
"NBT P0 Discharges","nbtpdsc"
"% of open beds that are escalation beds","xoobtaeb"
"ED all-type attendance variation","edallav"
"Bed Occupancy Adult","bdoccpna"
"Bed Occupancy PICU","bdocpicu"
"Intensive Caseload","intnsvcs"
"OOT Internal Placements","ootintrp"
"Urgent Referrals","urgntrfr"
